Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-medicinalproductindications-json,2,2,0
Cross.list-byid-medicinalproductindications-xml,2,2,0
Cross.list-byid-medicinalproductingredients,2,0,0
Cross.list-byid-medicinalproductingredients-json,2,2,0
Cross.list-byid-medicinalproductingredients-xml,2,2,0
Cross.list-byid-medicinalproductinteractions,2,1,0
Cross.list-byid-medicinalproductinteractions-json,2,1,0
Cross.list-byid-medicinalproductinteractions-xml,2,2,0
Cross.list-byid-medicinalproductmanufactureds,2,0,0
Cross.list-byid-medicinalproductmanufactureds-json,2,1,0
Cross.list-byid-medicinalproductmanufactureds-xml,2,2,0
Cross.list-byid-medicinalproductpackageds,2,0,0
Cross.list-byid-medicinalproductpackageds-json,2,2,0
Cross.list-byid-medicinalproductpackageds-xml,2,2,0
Cross.list-byid-medicinalproductpharmaceuticals,2,1,0
Cross.list-byid-medicinalproductpharmaceuticals-json,2,1,0
Cross.list-byid-medicinalproductpharmaceuticals-xml,2,2,0
Cross.list-byid-medicinalproducts,2,0,0
Cross.list-byid-medicinalproducts-json,2,1,0
Cross.list-byid-medicinalproducts-xml,2,2,0
Cross.list-byid-medicinalproductundesirableeffects,2,0,0
Cross.list-byid-medicinalproductundesirableeffects-json,2,1,0
Cross.list-byid-medicinalproductundesirableeffects-xml,2,2,0
Cross.list-byid-messagedefinitions,2,0,0
Cross.list-byid-messagedefinitions-json,2,2,0
Cross.list-byid-messagedefinitions-xml,2,2,0
Cross.list-byid-messageheaders,2,0,0
Cross.list-byid-messageheaders-json,2,1,0
Cross.list-byid-messageheaders-xml,2,1,0
Cross.list-byid-molecularsequences,2,1,0
Cross.list-byid-molecularsequences-json,2,2,0
Cross.list-byid-molecularsequences-xml,2,2,0
Cross.list-byid-namingsystems,2,0,0
Cross.list-byid-namingsystems-json,2,2,0
Cross.list-byid-namingsystems-xml,2,2,0
Cross.list-byid-nutritionorders,2,0,0
Cross.list-byid-nutritionorders-json,2,1,0
Cross.list-byid-nutritionorders-xml,2,2,0
Cross.list-byid-observationdefinitions,2,0,0
Cross.list-byid-observationdefinitions-json,2,2,0
Cross.list-byid-observationdefinitions-xml,2,2,0
Cross.list-byid-observations,2,0,4332
Cross.list-byid-observations-json,2,1,4422
Cross.list-byid-observations-xml,2,2,4404
Cross.list-byid-operationdefinitions,2,0,0
Cross.list-byid-operationdefinitions-json,2,2,0
Cross.list-byid-operationdefinitions-xml,2,2,0
Cross.list-byid-operationoutcomes,2,0,0
Cross.list-byid-operationoutcomes-json,2,2,0
Cross.list-byid-operationoutcomes-xml,2,2,0
